x,y,State
-70,136,Jammu and Kashmir
-77,89,Punjab
-54,99,Himachal Pradesh
-59,74,Haryana
-35,81,Uttarakhand
-98,39,Rajasthan
-38,53,Uttar Pradesh
-114,-4,Gujarat
-40,-2,Madhya Pradesh
32,22,Bihar
63,54,Sikkim
-76,-41,Maharashtra
-4,-11,Chhattisgarh
26,5,Jharkhand
56,1,West Bengal
-93,-82,Goa
-71,-87,Karnataka
-44,-57,Telangana
13,-27,Odisha
-46,-90,Andhra Pradesh
-44,-131,Tamil Nadu
-68,-131,Kerala
80,25,Meghalaya
87,38,Assam
126,70,Arunachal Pradesh
128,34,Nagaland
118,16,Manipur
108,-5,Mizoram
91,9,Tripura

